SID,Year,Lat,Lon,Sr,Mo,Cd,Pb,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,,,,,,,,Core
W3-2,August_2022,41.65827,-83.1472,94.4,3.2,1,49.6,72.4,31.7,36.6,536.3,28598.2,11.7,38.5,664.9,162.3,,,,,,,,
W4-2,August_2022,41.829,-83.279,74.5,2.4,1.2,46.9,106.8,34.9,46.5,840.9,28537.1,12.9,42.3,123.7,166.9,,,,,,,,
W5-2,August_2022,41.758,-83.218,42.7,1.7,1.9,63,103.1,31.7,59.4,717.3,31512.6,13.6,51.1,90,217.5,,,,,,,,
W6-2,August_2022,41.7426,-83.1374,39.4,1.8,1.5,56,127,39.1,63.4,916.3,34701.1,15.9,55.5,50.5,210.5,,,,,,,,
W7-2,August_2022,41.664,-83.044,35.9,2.1,1.4,52.5,75.8,35.1,55.8,834.7,33164.9,14.3,50.9,43.8,183.1,,,,,,,,
W8-2,August_2022,41.893,-83.232,39.9,1.6,1.5,48.3,93.9,27.3,54.3,845.6,25225.7,11.4,39.9,41.3,164.9,,,,,,,,
W9-2,August_2022,41.82582,-83.1945,58.5,1.9,1.3,45.3,118.4,34.1,52.1,852.7,30381.6,13.5,46.2,37.5,174.1,,,,,,,,
W10-2,August_2022,41.806,-83.101,37.2,1.7,1.4,55.3,124.2,31.2,55.1,979.1,30647.2,14.1,48.6,41.3,193.7,,,,,,,,
W11-2,August_2022,41.753,-83.034,35.7,1.3,1.5,59.4,119.6,34.5,58.8,865.3,33526.3,14.7,51.6,41.7,210.4,,,,,,,,
W12-2,August_2022,41.661,-82.92,38.4,1.9,1.5,52.4,134,35,62.5,848.4,33787.7,14.7,53.6,40.9,216.8,,,,,,,,
WLE2-Ek,June_2023,41.70277,-83.2534,66.8,1.6,0.9,27,209.7,209.669,34.1,566.7,25098.2,9.9,31.4,45.6,115.6,,,,,,,,EK 
WLE7-Ek,June_2023,41.71249,-83.01874,37.5,1.2,1.2,53.1,221.8,221.795,59.1,767.2,34320.9,13.9,50.5,66.9,205.1,,,,,,,,EK 
WLE16-Ek,June_2023,41.67355,-82.94833,44.1,1.7,1.4,57.9,224.3,224.268,70.4,806.6,39011,15.7,58.9,77.3,247.9,,,,,,,,EK 
WLE17-Ek,June_2023,41.82308,-83.13593,39.8,1.2,0.9,44.4,178.6,178.598,51.8,692.3,30248,11.8,40.8,84.4,156.2,,,,,,,,EK 
WLE14,May_2023,41.76451,-83.03421,36.28,1.06,1.66,55.04,241.1,47.611,59.66,745.86,34534.66,13.14,46.24,60.6,202.52,,,,,,,,M15
WLE13,May_2023,41.76104,-83.1951,51.16,1.66,1.22,46.66,175.9,50.411,54.08,725.72,32679.98,12.92,44.06,43.86,168.36,,,,,,,,M14
WLE1,May_2023,41.75515,-83.30386,76.34,2.3,1.42,35.16,250.82,41.516,37.82,517.98,27696.76,10.02,33.26,37.5,120.54,,,,,,,,M2
WLE1,April_2023,41.75515,-83.30386,79.48,1.52,0.8,24.8,177.06,31.122,32.62,446,22324.26,8.4,29.54,39.12,107.9,,,,,,,,A1
