station,month,A_T fixed (dpm/cm³),D_b (cm²/yr)
WLE1,April,0.89,14.6
WLE1,June,0.2559,70.51
WLE1,May,0.95,15.94
WLE13,June,0.4443,69.6
WLE13,May,0.5479,5.43
WLE14,June,0.49,200.0
WLE14,May,1.3605,106.76
WLE15,June,0.4688,200.0
WLE15,May,0.416,136.51
